内置番号,卡号,姓名,姓氏提取,匹配类型,骑砍ID,罗马音名,家族,文化,类型,外观模版,生年,登场,终年,死因,父亲,父亲编号,祖父,祖父编号,亲族,仕官倾向,仕官相性,亲密相性,性情,精神,主义,行动,情义,野心,喜好,物欲,饮酒,出身,武具,统率,武力,政务,智谋,魅力,足轻,骑马,火枪,水军,弓术,武艺,军学,忍术,建筑,开垦,矿山,算术,礼法,辩才,茶道,医术,特殊合战卡,秘技卡,称号卡,亲密获取,组合获取,事件获取,流亡之章,姓名,身份,立场,所属势力,所属据点,所属流派,乱麻之章,姓名,身份,立场,所属势力,所属据点,所属流派,日轮之章,姓名,身份,立场,所属势力,所属据点,所属流派,升龙之章,姓名,身份,立场,所属势力,所属据点,所属流派,覇道之章,姓名,身份,立场,所属势力,所属据点,所属流派,转变之章,姓名,身份,立场,所属势力,所属据点,所属流派,浪华之章,姓名,身份,立场,所属势力,所属据点,所属流派,太平之章,姓名,身份,立场,所属势力,所属据点,所属流派,梦幻之章,姓名,身份,立场,所属势力,所属据点,所属流派,事件获取
14,17,武将,明智光秀,明智光秀,精确匹配,明智光秀,100,lord_1_akechi,clan_akechi_1,tosan,Akechi Mitsuhide,Akechi Mitsuhide,1528,1554,1582,火绳枪,89,78,86,90,82,4,3,4,1,3,3,4,2,2,2,2,3,4,4,3,2,齐攻，枪炮乱射，激励,强袭，连续斩，拔突，二连苦无，急所击，二挺击，刚弓，石火，乱射，刚力，铁壁，丢钱，克己,火枪名人，策士，雄辩,,,(明智光继),1354,明智光安,只限武将,0,56,温和,胆小,理想,轻率,不重情义,94,南蛮物,普通,滴酒不沾,源氏,已登场,明智光秀,侍大将,直臣,斋藤家,稻叶山城,无,已登场,明智光秀,侍大将,直臣,斋藤家,稻叶山城,无,已登场,明智光秀,侍大将,直臣,朝仓家,一乘谷城,无,已登场,明智光秀,部将,直臣,织田家,岐阜城,无,已登场,明智光秀,城主,直臣,织田家,坂本城,无,已登场,明智光秀,国主,直臣,织田家,丹波龟山城,无,已死亡,明智光秀,无效,无效,无,无效,无,已死亡,明智光秀,无效,无效,无,无效,无,已登场,明智光秀,浪人,其他,无,奈良之町,无,不可,,主角丰臣秀吉，山崎之战胜利
15,19,武将,浅井井赖,淺井井賴,姓氏推断,,50,azai_i,clan_azai_1,kinai,Azai Iyori,,1573,1587,1615,刀剑,56,61,51,53,70,1,0,1,2,1,2,0,0,1,0,1,0,1,1,1,1,无,强袭，拔突，铁壁,无,浅井长政,16,浅井久政,17,浅井长政 浅井久政,全职种,49,49,普通,勇敢,理想,慎重,重视情义,55,武具,无欲,普通,源氏,未登场,浅井井赖,足轻组头,直臣,浅井家,小谷城,无,未登场,浅井井赖,足轻组头,陪臣（浅井长政）,浅井家,小谷城,无,未登场,浅井井赖,足轻组头,直臣,浅井家,小谷城,无,未登场,浅井井赖,足轻组头,直臣,浅井家,小谷城,无,未登场,浅井井赖,浪人,其他,无,长滨之町,无,未登场,浅井井赖,浪人,其他,无,长滨之町,无,未登场,浅井井赖,浪人,其他,无,长滨之町,无,已登场,浅井井赖,足轻组头,直臣,生驹家,高松城,无,已登场,浅井井赖,浪人,其他,无,龟山之町,无,无要求,,
16,20,武将,浅井长政,淺井長政,精确匹配,浅井长政,100,lord_1_azai,clan_azai_1,kinai,Azai Nagamasa,Azai Nagamasa,1545,1559,1573,刀剑,87,75,65,49,80,2,2,1,1,1,1,1,0,1,1,1,1,1,0,1,0,无,强袭,无,浅井久政,17,,,浅井井赖 浅井久政,只限武将,72,72,性急,胆小,理想,轻率,不重情义,81,武具,贪心,普通,源氏,未登场,浅井长政,家老,直臣,浅井家,小谷城,无,未登场,浅井长政,部将,陪臣（浅井久政）,浅井家,小谷城,无,已登场,浅井长政,大名,首领,浅井家,小谷城,无,已登场,浅井长政,大名,首领,浅井家,小谷城,无,已死亡,浅井长政,无效,无效,无,无效,无,已死亡,浅井长政,无效,无效,无,无效,无,已死亡,浅井长政,无效,无效,无,无效,无,已死亡,浅井长政,无效,无效,无,无效,无,已登场,浅井长政,浪人,其他,无,长滨之町,无,一般条件,海赤雨三将 海北纲亲/赤尾清纲/雨森弥兵卫,
17,21,武将,浅井久政,淺井久政,精确匹配,浅井久政,100,lord_1_azai_2,clan_azai_1,kinai,Azai Hisamasa,Azai Hisamasa,1526,1554,1573,刀剑,44,29,59,55,46,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,0,无,强袭,无,,,,,浅井井赖 浅井长政,只限武将,55,55,温和,胆小,现实,慎重,普通,31,艺术品,贪心,滴酒不沾,源氏,已登场,浅井久政,大名,首领,浅井家,小谷城,无,已登场,浅井久政,大名,首领,浅井家,小谷城,无,已登场,浅井久政,家老,直臣,浅井家,小谷城,无,已登场,浅井久政,家老,直臣,浅井家,小谷城,无,已死亡,浅井久政,无效,无效,无,无效,无,已死亡,浅井久政,无效,无效,无,无效,无,已死亡,浅井久政,无效,无效,无,无效,无,已死亡,浅井久政,无效,无效,无,无效,无,已登场,浅井久政,浪人,其他,无,浦户之町,无,一般条件,,
18,22,武将,朝仓景镜,朝倉景鏡,精确匹配,朝仓景镜,100,lord_1_asakura_2,clan_asakura_1,hokuriku,Asakura Kageakira,Asakura Kageakira,1535,1554,1574,刀剑,59,46,45,72,44,1,1,1,1,0,1,2,1,0,0,0,0,1,1,1,1,无,强袭,无,,,(朝仓贞景),1304,朝仓义景,全职种,45,45,性急,普通,现实,慎重,不重情义,71,艺术品,普通,普通,其他,已登场,朝仓景镜,侍大将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景镜,侍大将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景镜,侍大将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景镜,侍大将,直臣,朝仓家,一乘谷城,无,已死亡,朝仓景镜,无效,无效,无,无效,无,已死亡,朝仓景镜,无效,无效,无,无效,无,已死亡,朝仓景镜,无效,无效,无,无效,无,已死亡,朝仓景镜,无效,无效,无,无效,无,已登场,朝仓景镜,浪人,其他,无,大凑之町,无,无要求,,
19,23,武将,朝仓景健,朝倉景健,姓氏推断,,75,asakura_keitakeshi,clan_asakura_1,hokuriku,Asakura Kage-take,,1541,1555,1575,刀剑,62,65,49,33,45,2,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,无,强袭,无,,,,,,全职种,50,50,普通,胆小,现实,普通,普通,40,艺术品,无欲,普通,其他,未登场,朝仓景健,部将,直臣,朝仓家,一乘谷城,无,未登场,朝仓景健,部将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景健,部将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景健,部将,直臣,朝仓家,一乘谷城,无,已死亡,朝仓景健,无效,无效,无,无效,无,已死亡,朝仓景健,无效,无效,无,无效,无,已死亡,朝仓景健,无效,无效,无,无效,无,已死亡,朝仓景健,无效,无效,无,无效,无,已登场,朝仓景健,浪人,其他,无,京之町,无,无要求,,
20,24,武将,朝仓景恒,朝倉景恒,姓氏推断,,75,asakura_keitsune,clan_asakura_1,hokuriku,Asakura Kage-tsune,,1527,1554,1571,刀剑,59,60,34,41,36,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,无,强袭,无,,,朝仓宗滴,22,朝仓宗滴,只限武将,50,50,温和,普通,普通,普通,普通,21,书籍,无欲,嗜酒如命,其他,已登场,朝仓景恒,家老,直臣,朝仓家,一乘谷城,无,已登场,朝仓景恒,家老,直臣,朝仓家,一乘谷城,无,已登场,朝仓景恒,家老,直臣,朝仓家,一乘谷城,无,已登场,朝仓景恒,家老,直臣,朝仓家,一乘谷城,无,已死亡,朝仓景恒,无效,无效,无,无效,无,已死亡,朝仓景恒,无效,无效,无,无效,无,已死亡,朝仓景恒,无效,无效,无,无效,无,已死亡,朝仓景恒,无效,无效,无,无效,无,已登场,朝仓景恒,浪人,其他,无,奈良之町,无,无要求,,
21,25,武将,朝仓景连,朝倉景連,姓氏推断,,75,asakura_kei,clan_asakura_1,hokuriku,Asakura Keren,,1502,1554,1570,刀剑,56,58,52,66,53,1,0,0,0,0,0,1,0,2,2,1,1,1,1,1,1,无,强袭,无,,,,,,只限武将,50,50,温和,胆小,普通,慎重,普通,40,书籍,贪心,普通,其他,已登场,朝仓景连,部将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景连,部将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景连,部将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景连,部将,直臣,朝仓家,一乘谷城,无,已死亡,朝仓景连,无效,无效,无,无效,无,已死亡,朝仓景连,无效,无效,无,无效,无,已死亡,朝仓景连,无效,无效,无,无效,无,已死亡,朝仓景连,无效,无效,无,无效,无,已登场,朝仓景连,浪人,其他,无,鹿岛之町,无,无要求,,
22,26,武将,朝仓宗滴,朝倉宗滴,姓氏推断,,50,asakura_shuushizuku,clan_asakura_1,hokuriku,Asakura Souteki,,1477,1554,1555,枪,88,79,58,69,69,3,4,1,1,2,2,3,1,1,0,1,0,3,1,1,0,无,强袭，拔突，刚弓，铁壁,无,,,,,朝仓景恒,只限武将,30,30,普通,普通,普通,轻率,重视情义,29,武具,无欲,普通,其他,已登场,朝仓宗滴,家老,直臣,朝仓家,一乘谷城,无,已登场,朝仓宗滴,家老,直臣,朝仓家,一乘谷城,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已登场,朝仓宗滴,浪人,其他,无,安土之町,无,一般条件,,
23,27,武将,朝仓义景,朝倉義景,精确匹配,朝仓义景,100,lord_1_asakura,clan_asakura_1,hokuriku,Asakura Yoshikage,Asakura Yoshikage,1533,1554,1573,刀剑,42,19,51,34,49,0,1,1,0,0,0,0,0,1,1,1,1,3,1,2,1,威风凛凛,强袭,无,,,(朝仓贞景),1304,朝仓景镜,只限武将,50,50,普通,胆小,现实,慎重,不重情义,61,南蛮物,贪心,滴酒不沾,其他,已登场,朝仓义景,大名,首领,朝仓家,一乘谷城,无,已登场,朝仓义景,大名,首领,朝仓家,一乘谷城,无,已登场,朝仓义景,大名,首领,朝仓家,一乘谷城,无,已登场,朝仓义景,大名,首领,朝仓家,一乘谷城,无,已死亡,朝仓义景,无效,无效,无,无效,无,已死亡,朝仓义景,无效,无效,无,无效,无,已死亡,朝仓义景,无效,无效,无,无效,无,已死亡,朝仓义景,无效,无效,无,无效,无,已登场,朝仓义景,浪人,其他,无,鹿儿岛之町,无,一般条件,,
8,11,赤松义祐,赤松,精确匹配,lord_1_akamatsu,Akamatsu Yoshisuke,clan_akamatsu_1,kinai,精确匹配织丰,,1537,1554,1576,病死,赤松晴政,808,,,赤松晴政,只限武将,59,59,温和,胆小,普通,普通,普通,56,艺术品,贪心,普通,源氏,刀剑,39,45,51,46,39,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,无,强袭,无,一般条件,,,未登场,赤松义祐,家老,直臣,赤松家,置盐城,无,已登场,赤松义祐,家老,直臣,赤松家,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,置盐城,无,已死亡,赤松义祐,无效,无效,无,无效,无,已死亡,赤松义祐,无效,无效,无,无效,无,已死亡,赤松义祐,无效,无效,无,无效,无,已登场,赤松义祐,家老,直臣,赤穴家,中村城,无,
9,12,秋上久家,秋上,需新建,lord_1_akiagekuge,Akiue Hisaya,,,,,1536,1554,1579,病死,,,,,,没那个意思,18,18,普通,普通,理想,轻率,重视情义,41,武具,无欲,普通,其他,枪,63,58,38,40,61,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,无,拔突,无,无要求,,,未登场,秋上久家,足轻大将,直臣,尼子家,月山富田城,无,已登场,秋上久家,足轻组头,直臣,尼子家,月山富田城,无,已登场,秋上久家,侍大将,直臣,尼子家,月山富田城,无,已登场,秋上久家,浪人,其他,无,津山之町,无,已登场,秋上久家,浪人,其他,无,津山之町,无,已死亡,秋上久家,无效,无效,无,无效,无,已死亡,秋上久家,无效,无效,无,无效,无,已死亡,秋上久家,无效,无效,无,无效,无,已登场,秋上久家,部将,直臣,上泉家,内城,无,
10,13,安艺国虎,安艺,精确匹配,lord_1_aki,Aki Kunitora,clan_aki_1,nankai,精确匹配织丰,,1530,1554,1569,战死,,,,,,全职种,40,40,性急,勇敢,理想,轻率,重视情义,67,南蛮物,贪心,嗜酒如命,其他,刀剑,66,60,39,35,34,1,2,1,0,1,1,2,1,1,0,1,0,0,0,0,0,无,强袭,无,无要求,,,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已死亡,安艺国虎,无效,无效,无,无效,无,已死亡,安艺国虎,无效,无效,无,无效,无,已死亡,安艺国虎,无效,无效,无,无效,无,已死亡,安艺国虎,无效,无效,无,无效,无,已登场,安艺国虎,浪人,其他,无,府内之町,无,
