角色,模型号,武器正式名,铠甲正式名,头盔正式名,武器Lv1,武器Lv2,武器Lv3,武器Lv4,武器Lv5,日文原表记,依据
L101_katsuie,L101,二丁斧,赤威具足,雁金前立兜,二丁斧,黑旋风,天地双星,金刚武斧,雷公武神斧,二丁斧 ／ 赤糸威 具足 ／ 雁金前立兜,❔❔柴田家纹「二つ雁金」。「鬼柴田」＝猛将的赤系配色。本传中为护卫武将。
L10_shingen,L10,将配,白威胴丸,诹访法性兜,将配,信玄配,风林火山,天孙降临,不生不灭,將配 ／ 白糸威 胴丸 ／ 諏訪法性兜,📖📖Lv1–3 是军配（将配/信玄配）与「风林火山」旗印。诹访法性兜是武田家传来名兜。
L11_masamune,L11,阵太刀,黑漆五枚胴具足,俱利伽罗龙前立兜,阵太刀,鞍切景秀,倭刀蓬莱,大霸狩,双龙阿修罗,陣太刀 ／ 黒漆五枚胴具足 ／ 倶利伽羅龍前立兜,🏛🏛★甲胄·头盔皆现存（仙台市博物馆藏）。Lv2 鞍切景秀＝实名刀工名。
L12_nouhime,L12,蜘蛛,抚子纹打挂,抚子前立兜,蜘蛛,蜈蚣,蝴蝶,蛭虸,蝮蛇,蜘蛛 ／ 撫子紋 打掛 ／ 撫子前立兜,❔❔斋藤家纹「抚子」（道三之女）。武器名全为毒虫，是「蝮之女」设定的延伸。
L13_hanzo,L13,锁镰,伊贺忍装束,伊贺黑头巾,锁镰,首薙镰,飞龙虚抓,暗牙黄泉津,冥穿黑牛天,鎖鎌 ／ 伊賀忍装束（黒装束＋鎖帷子） ／ 黒頭巾（覆面）,📖📖忍者装束的定型描写（黑装束＋锁帷子＋覆面）。实存的半藏是德川家臣·伊贺同心支配者。
L14_rammaru,L14,野太刀,白纶子小袖,鹤丸前立兜,野太刀,不动行光,霸王友成,神剑卡姆德,护法竹刀,野太刀 ／ 白綸子 小姓小袖 ／ 鶴丸前立兜,❔❔小姓装束（白纶子小袖）。Lv2 不动行光＝实存名刀（传信长下赐）。森家纹「鹤丸」。
L36_hideyoshi,L36,三筋杖,金小札桐纹具足,马蔺后立兜,三筋杖,三铁棍,三天钟鬼,三贵宇津皇子,三界金猿文殊,三筋杖 ／ 金小札 桐紋具足 ／ 馬藺後立兜,❔📖丰臣家纹「桐」。马蔺后立是秀吉肖像画中所见的后立。
L38_tadakatsu,L38,豪枪,黑威具足,鹿角胁立兜,豪枪,虎斩枪,人间无骨,斗尖荒霸吐,烈枪降阎魔,豪槍 ／ 黒糸威具足 ／ 鹿角脇立兜,📖🏛★传忠胜所用黑糸威具足＋鹿角胁立兜。Lv3「人间无骨」亦源自忠胜之枪的传承。
L39_inahime,L39,长弓,红威女具足,红威鹿角胁立兜,长弓,大梓弓,与一弓滋藤,天之麻迦古弓,清丽爱弓,長弓 ／ 紅糸威 女具足 ／ 鹿角脇立兜（父譲り）,❔❔本多忠胜之女。头盔与父同型（鹿角胁立），以红威配色区分并点出亲缘。
L40_ieyasu,L40,筒枪,金陀美具足,金陀美具足附属兜,筒枪,炮烙枪,枪破炮震,煌刃获加武,东照葵火祭,筒槍 ／ 金陀美具足（きんたみぐそく） ／ 金陀美具足附属兜,🏛🏛★久能山东照宫藏、传家康所用。名字完整传世的少数具足。武器为枪＋大筒复合。
L41_mitsunari,L41,义扇,白威九曜纹具足,大一大万大吉前立兜,义扇,藤舞踊,嘉瑞招福,志那都神扇,神游扇,義扇 ／ 白糸威 九曜紋具足 ／ 大一大万大吉 前立兜,❔❔石田家纹「九曜」。旗印「大一大万大吉」是三成的著名旗号。
L42_nagamasa,L42,锥矛,龟甲纹具足,三盛龟甲前立兜,锥矛,苍骑士,圣枪舶来钢,倭王八千戟,御伽骑士·市,錐矛 ／ 亀甲紋 具足 ／ 三つ盛亀甲前立兜,❔❔浅井家纹「三盛龟甲」。武器是西洋枪（Lv2 苍骑士·Lv3 舶来钢＝南蛮渡来意匠）。
L43_sakon,L43,战场刀,黑漆大袖具足,黑漆筋兜,战场刀,同田贯,斩轰一闪刀,猛壬那刀,明丘居士刀,戦場刀 ／ 黒漆塗 大袖具足 ／ 黒漆塗 筋兜,❔❔★Lv2 同田贯＝实名刀工（九州·同田贯）。Lv4「猛壬那刀」为前稿缺项，本表补完。
L44_yoshihiro,L44,丸太槌,黑漆岛津具足,丸十前立兜,丸太槌,大铁槌,豪打波碎,大槌伊武岐,武瓮槌,丸太槌 ／ 黒漆塗 島津具足 ／ 丸十前立兜,❔❔岛津家纹「丸に十の字」。关原敌中突破（鬼石曼子）著名。武器为大槌。
L45_ginchiyo,L45,稻妻刀,白威女具足,祇园守前立兜,稻妻刀,雷霆剑,鸿爪迅雷,雷钢须世理,天雷磐长,稲妻刀 ／ 白糸威 女具足 ／ 祇園守前立兜,❔❔立花家纹「祇园守」。Lv1–Lv5 全带「雷」字，源自父·道雪爱刀「雷切」的系谱。
L46_kanetsugu,L46,宝剑,黑威当世具足,爱染明王前立兜,宝剑,独钴剑,伏鬼兼光,神直毗御剑,心无罣碍剑,宝剣 ／ 黒糸威 当世具足 ／ 「愛」前立兜（愛染明王兜）,❔🏛★战国最著名的头盔：「爱」字前立（爱染明王）传存于米泽·上杉神社。
L47_nene,L47,飞刀,桐纹打挂,桐纹前立兜,飞刀,苍空牙,天昇翼刀,丰玉翔小太刀,宝鸟心眼太刀,飛刀 ／ 桐紋 打掛（小袖） ／ 桐紋前立兜,❔❔丰臣家纹「桐」。女性故着打挂。武器是小太刀＋投掷刃。
L48_kotaro,L48,铁笼手,风魔忍装束,风魔黑头巾,铁笼手,刃金笼手,魔迅铁甲,暗御津破,风雷双头,鉄篭手 ／ 風魔忍装束（黒装束） ／ 黒頭巾（覆面）,❔❔风魔忍者传为北条家所雇的传承集团（实存性不明）。武器是手甲钩＝笼手系。
L49_musashi,L49,双剑,野袴道服,阵笠,双剑,无念无想,天地圆明刀,石裂岩刀剑,瓮速桶速剑,双剣 ／ 甲冑なし（野袴·道服） ／ 陣笠（旅笠）,📖📖浪人·剑客故不着甲胄，此处以装束与旅笠入栏。Lv1 双剑＝二刀流。著《五轮书》。
L250_SOLDIER1,L250,,茶革赤缀胴丸,茶革阵笠,,,,,,,贴图实测：茶革底＋红缀网格＋金钉（基准款）。足轻定型阵笠。
L251_SOLDIER2,L251,,钢青锁帷子,钢青阵笠,,,,,,,贴图实测：钢青底＋六角鳞片＝锁帷子（本组唯一能看出部件材质差异者）。
L252_SOLDIER3,L252,,茶青金具足,蓝铁筋兜,,,,,,,贴图实测：茶革＋蓝灰金属板混用，比足轻多金属护板。
L253_SOLDIER4,L253,,朱革赤缀胴丸,朱革阵笠,,,,,,,贴图实测：整体转朱红（＝精锐/部队识别配色）。
L254_SOLDIER5,L254,,樱色女具足,樱色大兜,,,,,,,贴图实测：粉／樱色调，且为女性面孔——本组唯一女兵；大兜以别于杂兵阵笠。
L255_ARCHER,L255,,轻革弓胴丸,弓兵阵笠,,,,,,,贴图实测：驼色轻皮甲、无重板（便于开弓）；头饰与杂兵同系，配色偏浅以区分。
L256_GUNNER,L256,,赤茶火药胴丸,菅笠,,,,,,,贴图实测：左上可见编织纹＝菅笠（本组唯一菅笠）。铁炮队以笠遮阳避硝烟。
L257_NINJA1,L257,,藏青女忍装束,藏青覆面,,,,,,,贴图实测：深藏青贴身布、女性面孔，无板甲。
L258_NINJA2,L258,,茶革忍装束,茶革覆面,,,,,,,贴图实测：转茶革皮革质感，比下忍多皮带扣件。
L259_NOUMIN,L259,,素肌作务衣,无（裸头）,,,,,,,贴图实测：大面积肤色外露＋浅灰白布，全场唯一无甲；裸头乱发。
L260_KYUSHU1,L260,,赤茶革胴丸,赤茶阵笠,,,,,,,贴图实测：赤茶皮＋红缀，与枪足轻同系但更偏赤。
L261_KYUSHU2,L261,,暗茶革胴丸,暗茶阵笠,,,,,,,贴图实测：明度比九州兵低一档（＝精锐/老兵的暗色涂装）。
L262_TOTSUNIN,L262,,赤茶重革胴丸,赤茶筋兜,,,,,,,贴图实测：赤茶＋红缀＋金属件密度高于九州兵（僧兵的重装感）。
L263_TOBININ,L263,,暗赤忍装束,暗赤覆面,,,,,,,贴图实测：整体偏暗，红缀＋黑底，轻装。
L264_SENNIN,L264,,白布忍装束（樱纹）,白布头巾,,,,,,,贴图实测：浅米／白布为主，中央有粉色樱花纹章——本组唯一白系、唯一有徽记。
L265_HAZENIN,L265,,黑漆重具足,黑漆筋兜,,,,,,,贴图实测：黑漆＋银灰金属板，且有完整金属兜（本组金属感最重）。
L266_NINJA3,L266,,黑忍装束,黑覆面,,,,,,,贴图实测：全身最暗（黑 69%），覆面明确（仅露眼）——本组唯一明确覆面者。
L300_guard1,L300,,茶革赤缀亲卫具足,茶革护卫兜,,,,,,,贴图实测：与枪足轻同款的茶革＋红缀＋金钉基准款。
L301_guard2,L301,,藏青亲卫具足,藏青护卫兜,,,,,,,贴图实测：皮革转深藏青，贴图带长杆纹理（长枪兵）。
L302_guard3,L302,,茶革密钉亲卫具足,茶革护卫筋兜,,,,,,,贴图实测：茶革＋金钉排列比护卫壹更密。
L303_guard4,L303,,萌黄金漆亲卫具足,金漆顶缨大兜,,,,,,,贴图实测：金／萌黄金漆，兜顶带缨——六护卫里头部最显眼。
L304_guard5,L304,,赤茶轻装亲卫具足,赤茶护卫小兜,,,,,,,贴图实测：赤茶轻装，脸明显比其余护卫年幼（少年兵）。
L305_guard6,L305,,紫带亲卫具足,紫带护卫兜,,,,,,,贴图实测：赤茶底＋紫红条带＋银链，配色最繁复。
