类别,所属域,太阁原词,例句,我们侧名,值类型,语义,参数,备注,频率
域,—,狀況,調查:(狀況::年)>=(1598),Time::,域,全局时间状态,—,✅ 引擎域,1932
域,—,環境變量,調查:(環境變量::5270.88)-(主命屬性::5288.80),🔴 05 演出环境,域,环境变量,—,🔴 数据包（后续补充）,1
域,—,町,調查:(人物::主人公.所屬據點)!=(町::松江),Settlement::,域,据点（町）,—,✅ 引擎域,154
域,—,真偽,更新:(人物::豐臣秀吉.卡持有(卡::千成瓢箪))(真偽::真),布尔字面量,域,布尔,—,✅ 引擎域,1386
域,—,砦,調查:(海賊衆::熊野水軍.本據)==(砦::鳥羽),Settlement::,域,据点（砦）,—,✅ 引擎域,336
域,—,背景音樂,調查:(背景音樂::5452.92)>=(主命屬性::5324.82),bgm,域,背景音乐,—,🔴 数据包（后续补充）,1
域,—,變量,代入ｄ:(變量::ｄ)-(1496),Variable::,域,剧本变量,—,✅ 引擎域,2105
域,—,身份,更新:(人物::柳生石舟齋.身份)(身份::師範),Identity::,域,身份枚举,—,✅ 引擎域,2357
域,—,軍團,調查:(軍團::軍團１)==(軍團::主人公軍團),Army::,域,军团,—,✅ 引擎域,2432
域,—,軍團方針,調查:(軍團::主人公軍團.8)==(軍團方針::歸還),02 PartyIntent,域,军团方针,—,✅ 引擎域,19
域,—,遊戲通關種類,調查:(遊戲通關種類::5830.134)!=(事件發生狀態::6089.73),🔴 剧本结局枚举,域,通关种类,—,🔴 需新加,1
域,—,里,調查:(人物::人物Ｅ.所屬據點)==(里::里Ｅ),Settlement::,域,据点（里）,—,✅ 引擎域,92
属性,主命屬性,80,調查:(環境變量::5270.88)-(主命屬性::5288.80),QuestDef.attr_80,数字,80,—,🔴 需新增（13 主命）,1
属性,主命屬性,82,調查:(背景音樂::5452.92)>=(主命屬性::5324.82),QuestDef.attr_82,数字,82,—,🔴 需新增（13 主命）,1
属性,事件主命,106,調查:(狀況::8)==(事件主命::三人眾調略.106),QuestDef.attr_106,数字,106,—,🔴 需新增（13 主命）,1
属性,事件主命,95,調查:(狀況::8)==(事件主命::半兵衛勧誘.95),QuestDef.attr_95,数字,95,—,🔴 需新增（13 主命）,1
属性,事件主命 / 交易品 / 官位 / 工作,3,調查:(交易品::玻璃瓶.3)==(1),Item.attr_3 / QuestDef.attr_3 / court_rank.attr_3,数字,3,—,🔴 需新增（数据包）,58
属性,事件發生狀態,73,調查:(遊戲通關種類::5830.134)!=(事件發生狀態::6089.73),Event.attr_73,数字,73,—,🔴 需新增（mod 外置属性）,1
属性,交易品,交易品數量,調查:(交易品::蕎麦.交易品數量)>(0),Item.count,数字,交易品數量,—,🔴 需新增（数据包）,217
属性,人物,118,調查:(人物::主人公.118)==(真偽::真),Hero.attr_118,布尔,118,—,🔴 需新增（mod 外置属性）,3
属性,人物,148,調查:(人物::主人公.148)==(0),Hero.attr_148,数字,148,—,🔴 需新增（mod 外置属性）,3
属性,人物,154,調查:(人物::主人公.154)==(1),Hero.attr_154,数字,154,—,🔴 需新增（mod 外置属性）,1
属性,人物,161,更新:(人物::主人公.161)(0),Hero.attr_161,数字,161,—,🔴 需新增（mod 外置属性）,4
属性,人物,176,調查:(人物::人物Ａ.176)==(真偽::真),Hero.attr_176,布尔,176,—,🔴 需新增（mod 外置属性）,35
属性,人物,205,更新:(人物::織田信長.205)(1154),Hero.attr_205,数字,205,—,🔴 需新增（mod 外置属性）,23
属性,人物,206,更新:(人物::織田信長.206)(1154),Hero.attr_206,数字,206,—,🔴 需新增（mod 外置属性）,21
属性,人物,207,調查:(人物::主人公.207)>=(5),Hero.attr_207,数字,207,—,🔴 需新增（mod 外置属性）,6
属性,人物,94,調查:(人物::主人公.94)==(0),Hero.attr_94,数字,94,—,🔴 需新增（mod 外置属性）,4
属性,人物,主人公道場規模,調查:(人物::主人公.主人公道場規模)<=(5),Hero.dojo_scale,数字,主人公道場規模,—,🔴 需新增（mod 外置属性）,2
属性,人物,主命期限,調查:(人物::主人公.主命期限)<=(50),Hero.quest_deadline,数字,主命期限（13）,—,🔴 需新增（13 主命）,17
属性,人物,主命狀態,調查:(人物::主人公.主命狀態)==(0),Hero.quest_state,数字,主命状态（13）,—,🔴 需新增（13 主命）,411
属性,人物,主命目標,調查:(人物::主人公.主命目標)!=(人物::發生人物),Hero.quest_goal,对象:据点,主命目标（13）,—,🔴 需新增（13 主命）,111
属性,人物,事件参加可能,調查:(人物::前田利家.事件参加可能),Hero.available,布尔,事件参加可能,—,✅ 引擎查询器,2597
属性,人物,仇敵標誌,調查:(人物::ＭＰ主人.仇敵標誌)==(真偽::偽),Hero.state,布尔,登场状态（TK5 拼写：真偽::偽 / 真偽::真 → true/false）,—,✅ 引擎查询器,18
属性,人物,仕官傾向,更新:(人物::小野忠明.仕官傾向)(沒那個意思),Hero.tendency,枚举:仕官傾向,仕官志向（值：沒那個意思 / 全職種 / 只限武將 / 3）,—,✅ 引擎查询器,315
属性,人物,体力,更新:(人物::主人公.体力)(1),Hero.health,数字,体力,—,✅ 引擎查询器,113
属性,人物,個人戰勝利数,調查:(人物::主人公.個人戰勝利数)>=(100),Hero.duel_wins,数字,个人战胜利数,—,🔴 需新增（mod 外置属性）,29
属性,人物,個人戰敗北数,代入ｄ:(人物::主人公.個人戰敗北数)*(4),Hero.duel_losses,数字,個人戰敗北数,—,🔴 需新增（mod 外置属性）,1
属性,人物,個人戰現在連勝数,調查:(人物::主人公.個人戰現在連勝数)>=(20),Hero.duel_streak,数字,个人战连胜数,—,🔴 需新增（mod 外置属性）,1
属性,人物,兵法指南役大名家,更新:(人物::小野忠明.兵法指南役大名家)(大名家::德川家康),Hero.tactics_advisor,对象:家族,兵法指南役大名家,—,🔴 需新增（mod 外置属性）,30
属性,人物,出撃標誌,調查:(人物::人物Ｂ.出撃標誌)==(0),Hero.state,布尔,登场状态（TK5 拼写：0 / 1 / 出撃中 / 平常 → true/false）,—,✅ 引擎查询器,180
属性,人物,出現標誌,更新:(人物::マリア.出現標誌)(未出現),Hero.state,布尔,登场状态（TK5 拼写：1 / 0 / 已出現 / 未出現 / 已發生 → true/false）,—,✅ 引擎查询器,618
属性,人物,出自,場合別:(人物::發生人物.出自){//size=88(58),Hero.origin,数字,出自,—,🔴 需新增（mod 外置属性）,8
属性,人物,劍勝利回数,更新:(人物::主人公.劍勝利回数)(10),Hero.sword_wins,数字,剑胜利回数,—,🔴 需新增（mod 外置属性）,4
属性,人物,劍術師匠,更新:(人物::柳生石舟齋.劍術師匠)(人物::上泉信綱),Hero.sword_master,对象:人物,劍術師匠,—,🔴 需新增（mod 外置属性）,141
属性,人物,劍術流派,更新:(人物::柳生石舟齋.劍術流派)(流派::新陰),Hero.sword_style,对象:卡,劍術流派,—,🔴 需新增（mod 外置属性）,83
属性,人物,印可,更新:(人物::柳生石舟齋.印可)(真偽::真),Hero.license,布尔,印可,—,🔴 需新增（mod 外置属性）,26
属性,人物,原屬下標誌,更新:(人物::人物Ａ.原屬下標誌)(原上司),Hero.former_subordinate,枚举:原屬下標誌,原属下标记（值：原上司 / 原同事 / 原屬下 / 2 / 1）,—,🔴 需新增（mod 外置属性）,40
属性,人物,合戰禁止標誌,更新:(人物::主人公.合戰禁止標誌)(真偽::真),Hero.no_battle_flag,布尔,合战禁止标记（TK5 拼写：真偽::偽 / 真偽::真 → true/false）,—,🔴 需新增（mod 外置属性）,8
属性,人物,名聲,調查:(人物::主人公.名聲)>=(70),Hero.reputation,数字,名声,—,✅ 引擎查询器,223
属性,人物,商人功勳,更新:(人物::主人公.商人功勳)(0),Hero.merit,数字,功勋,—,✅ 引擎查询器,52
属性,人物,喜好,場合別:(人物::人物Ａ.喜好){//size=852(354),Hero.taste,数字,喜好,—,🔴 需新增（mod 外置属性）,5
属性,人物,壽命,代入ｙ:(人物::主人公.壽命)+(1500),Hero.lifespan,数字,寿命,—,🔴 需新增（mod 外置属性）,1
属性,人物,外出禁止標誌,更新:(人物::小野忠明.外出禁止標誌)(真偽::真),Hero.state,布尔,登场状态（TK5 拼写：真偽::真 / 真偽::偽 → true/false）,—,✅ 引擎查询器,303
属性,人物,天覧試合標誌,調查:(人物::主人公.天覧試合標誌)==(3),Hero.tournament_flag,数字,天览试合标记,—,🔴 需新增（mod 外置属性）,2
属性,人物,失蹤標誌,更新:(人物::汎用姫様.失蹤標誌)(真),Hero.state,布尔,登场状态（TK5 拼写：偽 / 真 / 1 → true/false）,—,✅ 引擎查询器,41
属性,人物,妻,更新:(人物::上杉景勝.妻)(人物::無效),Hero.spouse,对象:人物,配偶,—,✅ 引擎查询器,466
属性,人物,妻性格,調查:(人物::人物Ａ.妻性格)==(0),Hero.spouse_personality,数字,妻性格,—,🔴 需新增（mod 外置属性）,86
属性,人物,官位,調查:(人物::發生人物.官位)==(官位::正一位.16),Hero.title,枚举:官位（带序：17 官职品级）,官职,—,✅ 引擎查询器,105
属性,人物,官職,更新:(人物::主人公.官職)(官職::無效),Hero.title,枚举:官職（带序：17 官职品级）,官职,—,✅ 引擎查询器,148
属性,人物,容貌１,更新:(人物::織田信長.容貌１)(1154),Hero.appearance,数字,容貌,—,🔴 需新增（mod 外置属性）,4
属性,人物,容貌２,更新:(人物::織田信長.容貌２)(1154),Hero.appearance,数字,容貌,—,🔴 需新增（mod 外置属性）,4
属性,人物,容貌３,更新:(人物::織田信長.容貌３)(1154),Hero.appearance,数字,容貌,—,🔴 需新增（mod 外置属性）,4
属性,人物,容貌４,更新:(人物::織田信長.容貌４)(1154),Hero.appearance,数字,容貌,—,🔴 需新增（mod 外置属性）,4
属性,人物,對手武將,更新:(人物::主人公.對手武將)(人物::織田信勝),Hero.rival,对象:人物,对手武将,—,🔴 需新增（mod 外置属性）,27
属性,人物,工作狀態,調查:(人物::主人公.工作狀態)==(0),Hero.work_state,数字,工作状态（13）,—,🔴 需新增（13 主命）,46
属性,人物,工作目標,調查:(人物::主人公.工作目標)!=(人物::果心居士),Hero.work_goal,对象:人物,工作目标（13）,—,🔴 需新增（13 主命）,1
属性,人物,年齡,調查:(人物::主人公.年齡)<(50),Hero.age,数字,年龄,—,✅ 引擎查询器,327
属性,人物,建築技能,代入ｆ:(人物::主人公.建築技能),Hero.skill_construction,数字,建築技能,—,🔴 需新增（mod 外置属性）,28
属性,人物,弓術技能,代入ｂ:(變量::ｂ)+(人物::主人公.弓術技能),Hero.skill_archery,数字,弓術技能,—,🔴 需新增（mod 外置属性）,30
属性,人物,忍者功勳,更新:(人物::主人公.忍者功勳)(1048576),Hero.merit,数字,功勋,—,✅ 引擎查询器,56
属性,人物,忍術技能,調查:(人物::主人公.忍術技能)==(5),Hero.skill_ninjutsu,数字,忍術技能,—,🔴 需新增（mod 外置属性）,79
属性,人物,忠誠度,更新:(人物::人物Ｄ.忠誠度)(100),Hero.loyalty,数字,忠诚,—,✅ 引擎查询器,61
属性,人物,性別,調查:(人物::主人公.性別)==(1),Hero.gender,数字,性别,—,✅ 引擎查询器,1430
属性,人物,性情,調查:(人物::主人公.性情)==(2),Hero.personality,数字,性情,—,🔴 需新增（mod 外置属性）,3
属性,人物,悪名,調查:(人物::主人公.悪名)>=(70),Hero.infamy,数字,恶名,—,✅ 引擎查询器,299
属性,人物,所屬上司,代入人物Ａ:(人物::主人公.所屬上司),Hero.superior,对象:人物,所属上司,—,✅ 引擎查询器,612
属性,人物,所屬勢力類型,調查:(人物::主人公.所屬勢力類型)==(0),Hero.faction,数字,归属势力,—,✅ 引擎查询器,625
属性,人物,所屬商家,代入商家Ａ:(人物::主人公.所屬商家),Hero.merchant_group,对象:组织,所屬商家,—,🔴 需新增（mod 外置属性）,24
属性,人物,所屬據點,調查:(人物::本多正信.所屬據點)==(據點::主人公據點),Hero.settlement,对象:据点,所在据点,—,✅ 引擎查询器,1727
属性,人物,所屬當主,代入人物Ａ:(人物::主人公.所屬當主),Hero.clan_leader,对象:人物,所屬當主,—,🔴 需新增（mod 外置属性）,130
属性,人物,所持金,代入ａ:(人物::主人公.所持金)+(人物::主人公.貯金),Hero.gold,数字,所持金,—,✅ 引擎查询器,46
属性,人物,承擔主命,調查:(人物::主人公.承擔主命)!=(主命::獲取貴重品（忍者）),Hero.quest_assigned,枚举:主命,承担主命（13）,—,🔴 需新增（13 主命）,169
属性,人物,承擔工作,調查:(人物::主人公.承擔工作)==(工作::買進交易品.3),Hero.work_assigned,枚举:工作,承担工作（13）,—,🔴 需新增（13 主命）,17
属性,人物,政務,更新:(人物::主人公.政務)(ａ),Hero.governance,数字,政务,—,🔴 需新增（mod 外置属性）,10
属性,人物,智謀,更新:(人物::主人公.智謀)(ｒ),Hero.intellect,数字,智谋,—,🔴 需新增（mod 外置属性）,5
属性,人物,最大載重量,代入ｃ:(人物::主人公.最大載重量)/(50),Hero.capacity,数字,最大载重量,—,🔴 需新增（mod 外置属性）,3
属性,人物,未知54,更新:(人物::一條兼定.未知54)(真),unknown,布尔,未知（解析碎片）,—,🔴 解析碎片,21
属性,人物,格,調查:(人物::主人公.格)>(人物::ＭＰ主人.格),Hero.rank,数字,格,—,🔴 需新增（mod 外置属性）,2
属性,人物,武具種類,場合別:(人物::人物Ａ.武具種類){//size=256(100),Hero.weapon_type,数字,武具种类,—,🔴 需新增（mod 外置属性）,2
属性,人物,武具經驗,調查:(人物::主人公.武具經驗)>=(300),Hero.weapon_exp,数字,武具经验,—,🔴 需新增（mod 外置属性）,1
属性,人物,武力,更新:(人物::主人公.武力)(ａ),Hero.might,数字,武力,—,🔴 需新增（mod 外置属性）,8
属性,人物,武士功勳,代入ｄ:(人物::主人公.武士功勳)/(300),Hero.merit,数字,功勋,—,✅ 引擎查询器,243
属性,人物,武藝技能,代入ｂ:(變量::ｂ)+(人物::主人公.武藝技能),Hero.skill_martial_arts,数字,武藝技能,—,🔴 需新增（mod 外置属性）,26
属性,人物,死亡標誌,更新:(人物::阿中.死亡標誌)(死亡),Hero.alive,布尔,存活（TK5 拼写：0 / 1 / 死亡 / 已發生 / 生存 → true/false）,—,✅ 引擎查询器,858
属性,人物,死刑標誌,更新:(人物::豐臣秀賴.死刑標誌)(死刑),Hero.state,布尔,登场状态（TK5 拼写：死刑 → true/false）,—,✅ 引擎查询器,126
属性,人物,水軍技能,代入ｂ:(變量::ｂ)+(人物::主人公.水軍技能),Hero.skill_naval,数字,水軍技能,—,🔴 需新增（mod 外置属性）,77
属性,人物,流派評價,調查:(人物::主人公.流派評價)>=(10000),Hero.sword_rank,数字,流派评价,—,🔴 需新增（mod 外置属性）,20
属性,人物,海賊功勳,更新:(人物::主人公.海賊功勳)(2097152),Hero.merit,数字,功勋,—,✅ 引擎查询器,43
属性,人物,無敵標誌,更新:(人物::人物Ｅ.無敵標誌)(真),Hero.invincible,布尔,无敌标记（TK5 拼写：真 / 偽 → true/false）,—,🔴 需新增（mod 外置属性）,2
属性,人物,父母,調查:(人物::人物Ａ.父母)==(人物::主人公),Hero.parents,对象:人物,父母,—,🔴 需新增（mod 外置属性）,22
属性,人物,物欲,調查:(人物::人物Ｂ.物欲)==(0),Hero.greed,数字,物欲,—,🔴 需新增（mod 外置属性）,1
属性,人物,生病標誌,更新:(人物::人物Ａ.生病標誌)(生病),Hero.state,布尔,登场状态（TK5 拼写：0 / 健康 / 生病 / 1 → true/false）,—,✅ 引擎查询器,61
属性,人物,知喜好標誌,更新:(人物::人物Ｂ.知喜好標誌)(真偽::真),Hero.knows_taste,布尔,知喜好标记（TK5 拼写：真偽::真 → true/false）,—,🔴 需新增（mod 外置属性）,1
属性,人物,礦山技能,調查:(人物::主人公.礦山技能)>=(4),Hero.skill_mining,数字,礦山技能,—,🔴 需新增（mod 外置属性）,18
属性,人物,礼法技能,調查:(人物::主人公.礼法技能)>=(4),Hero.skill_etiquette,数字,礼法技能,—,🔴 需新增（mod 外置属性）,21
属性,人物,立場,調查:(人物::主人公.立場)==(0),Hero.stance,数字,立场,—,🔴 需新增（mod 外置属性）,169
属性,人物,算術技能,代入ｂ:(變量::ｂ)+(人物::主人公.算術技能),Hero.skill_arithmetic,数字,算術技能,—,🔴 需新增（mod 外置属性）,90
属性,人物,精神,調查:(人物::主人公.精神)==(2),Hero.spirit,数字,精神,—,🔴 需新增（mod 外置属性）,2
属性,人物,素政務,代入ｄ:(人物::主人公.素政務),Hero.governance_base,数字,素政务,—,🔴 需新增（mod 外置属性）,4
属性,人物,素智謀,代入ｄ:(人物::主人公.素智謀),Hero.intellect_base,数字,素智谋,—,🔴 需新增（mod 外置属性）,4
属性,人物,素武力,代入ｄ:(人物::主人公.素武力),Hero.might_base,数字,素武力,—,🔴 需新增（mod 外置属性）,4
属性,人物,素統率力,代入ｄ:(人物::主人公.素統率力),Hero.leadership_base,数字,素统率力,—,🔴 需新增（mod 外置属性）,2
属性,人物,素魅力,代入ｄ:(人物::主人公.素魅力),Hero.charm_base,数字,素魅力,—,🔴 需新增（mod 外置属性）,4
属性,人物,統率力,更新:(人物::主人公.統率力)(ａ),Hero.leadership,数字,统率力,—,🔴 需新增（mod 外置属性）,2
属性,人物,繼承人標誌,更新:(人物::佐久間盛政.繼承人標誌)(真偽::真),Hero.heir_flag,布尔,继承人标记（TK5 拼写：真偽::真 → true/false）,—,🔴 需新增（mod 外置属性）,35
属性,人物,義理,調查:(人物::人物Ｂ.義理)==(0),Hero.loyalty,枚举:義理,忠诚（值：重視情義 / 0）,—,✅ 引擎查询器,15
属性,人物,義診天數,調查:(人物::主人公.義診天數)>=(100),Hero.clinic_days,数字,义诊天数,—,🔴 需新增（mod 外置属性）,2
属性,人物,自宅鄰接工作場,調查:(人物::主人公.自宅鄰接工作場)==(1),Hero.workplace,数字,自宅邻接工作场,—,🔴 需新增（13 主命）,30
属性,人物,茶具經驗,調查:(人物::主人公.茶具經驗)>=(300),Hero.tea_exp,数字,茶具經驗,—,🔴 需新增（mod 外置属性）,10
属性,人物,茶席次數,調查:(人物::主人公.茶席次數)>=(1000),Hero.tea_count,数字,茶席次數,—,🔴 需新增（mod 外置属性）,14
属性,人物,茶道技能,調查:(人物::主人公.茶道技能)>=(3),Hero.skill_tea_ceremony,数字,茶道技能,—,🔴 需新增（mod 外置属性）,18
属性,人物,装備武器,調查:(人物::主人公.装備武器)==(物品::村正),Hero.equipment_weapon,对象:物品,装備武器,—,🔴 需新增（mod 外置属性）,13
属性,人物,装備防具,調查:(人物::主人公.装備防具)==(物品::物品Ａ),Hero.equipment_armor,对象:物品,装備防具,—,🔴 需新增（mod 外置属性）,5
属性,人物,製砲經驗,調查:(人物::主人公.製砲經驗)>=(500),Hero.cannon_exp,数字,制炮经验,—,🔴 需新增（mod 外置属性）,6
属性,人物,製藥天數,調查:(人物::主人公.製藥天數)>=(100),Hero.medicine_days,数字,制药天数,—,🔴 需新增（mod 外置属性）,4
属性,人物,製鐵經驗,調查:(人物::主人公.製鐵經驗)>=(500),Hero.smith_exp,数字,制铁经验,—,🔴 需新增（mod 外置属性）,6
属性,人物,親密度,更新:(人物::寶藏院胤榮.親密度)(90),Hero.relation_to,数字,親密度,—,✅ 引擎查询器,908
属性,人物,認識標誌,更新:(人物::寶藏院胤榮.認識標誌)(已認識),Hero.known,布尔,認識標誌（TK5 拼写：已認識 / 1 / 不認識 / 0 / 已發生 → true/false）,—,✅ 引擎查询器,797
属性,人物,貯金,代入ａ:(人物::主人公.所持金)+(人物::主人公.貯金),Hero.gold,数字,所持金,—,✅ 引擎查询器,34
属性,人物,賊遭遇計數器,更新:(人物::主人公.賊遭遇計數器)(1048576),Variable::bandit_enc,数字,賊遭遇計數器,—,🔴 需新增（mod 外置属性）,1
属性,人物,足輕技能,代入ｂ:(人物::主人公.足輕技能),Hero.skill_infantry,数字,足輕技能,—,🔴 需新增（mod 外置属性）,16
属性,人物,身份,更新:(人物::柳生石舟齋.身份)(身份::師範),Hero.identity,枚举:身份（带序：17 身份链）,身份,—,✅ 引擎查询器,2062
属性,人物,軍学技能,調查:(人物::主人公.軍学技能)>=(4),Hero.skill_military_tactics,数字,軍学技能,—,🔴 需新增（mod 外置属性）,72
属性,人物,辯才技能,調查:(人物::主人公.辯才技能)>=(4),Hero.skill_eloquence,数字,辯才技能,—,🔴 需新增（mod 外置属性）,45
属性,人物,醫師評價,調查:(人物::主人公.醫師評價)>=(3000),Hero.doctor_rank,数字,医师评价,—,🔴 需新增（mod 外置属性）,42
属性,人物,醫術技能,代入ｂ:(變量::ｂ)+(人物::主人公.醫術技能),Hero.skill_medicine,数字,醫術技能,—,🔴 需新增（mod 外置属性）,10
属性,人物,野心,調查:(人物::主人公.野心)>=(55),Hero.ambition,数字,野心,—,🔴 需新增（mod 外置属性）,5
属性,人物,鐵砲技能,調查:(人物::主人公.鐵砲技能)>=(3),Hero.skill_firearms,数字,鐵砲技能,—,🔴 需新增（mod 外置属性）,29
属性,人物,開墾技能,調查:(人物::主人公.開墾技能)>=(4),Hero.skill_farming,数字,開墾技能,—,🔴 需新增（mod 外置属性）,17
属性,人物,關係經緯,調查:(人物::ＭＰ主人.關係經緯)==(0),Hero.relation_graph,枚举:關係經緯,关系经纬（值：主人公背叛 / 此武將背叛 / 1 / 0 / 其他 / 圓滿）,—,🔴 需新增（mod 外置属性）,54
属性,人物,離家標誌,更新:(人物::小野忠明.離家標誌)(離家),Hero.away_flag,布尔,離家標誌（TK5 拼写：在家 / 離家 / 0 / 1 → true/false）,—,🔴 需新增（mod 外置属性）,354
属性,人物,類別,調查:(人物::人物Ａ.類別)!=(人物類別::泛用對手),Hero.category,枚举:人物類別,类别,—,🔴 需新增（mod 外置属性）,14
属性,人物,飲酒,調查:(人物::主人公.飲酒)==(2),Hero.drinking,数字,饮酒,—,🔴 需新增（mod 外置属性）,7
属性,人物,騎馬技能,代入ｂ:(變量::ｂ)+(人物::主人公.騎馬技能),Hero.skill_cavalry,数字,騎馬技能,—,🔴 需新增（mod 外置属性）,20
属性,人物,魅力,調查:(人物::主人公.魅力)>=(60),Hero.charm,数字,魅力,—,🔴 需新增（mod 外置属性）,4
属性,人物 / 城,所屬大名家,調查:(人物::主人公.所屬大名家)!=(大名家::德川家康),Hero.clan / Settlement.clan,对象:家族,归属家族,—,✅ 引擎查询器,5589
属性,人物 / 砦,所屬海賊衆,代入海賊衆Ａ:(人物::主人公.所屬海賊衆),Hero.pirate_group / Settlement.pirate_group,对象:组织,所屬海賊衆,—,🔴 需新增（mod 外置属性）,141
属性,人物 / 軍團,所屬勢力,代入勢力Ａ:(人物::毛利輝元.所屬勢力),Hero.faction / Army.faction,对象:王国,归属势力,—,✅ 引擎查询器,72
属性,人物 / 里,所屬忍者衆,代入忍者衆Ａ:(人物::主人公.所屬忍者衆),Hero.ninja_group / Settlement.ninja_group,对象:组织,所屬忍者衆,—,🔴 需新增（mod 外置属性）,120
属性,人物類別,60,調查:(人物::人物Ａ.類別)==(人物類別::泛用對手.60),Identity.attr_60,数字,60,—,🔴 需新增（mod 外置属性）,1
属性,勢力,勢力類型,調查:(勢力::勢力Ｂ.勢力類型)==(0),Faction.type,数字,类型,—,✅ 引擎查询器,3
属性,勢力 / 商家 / 大名家 / 忍者衆 / 流派 / 海賊衆,存在,調查:(流派::主人公流派.存在),exists,布尔,存在,—,🔴 需新增（mod 外置属性）,7513
属性,勢力 / 商家 / 大名家 / 忍者衆 / 海賊衆,當主,代入人物Ｂ:(海賊衆::熊野水軍.當主),Org.leader / Clan.leader / Faction.leader,对象:人物,是否家主,—,✅ 引擎查询器,296
属性,勢力 / 忍者衆 / 海賊衆,本據,代入據點Ｂ:(勢力::勢力Ｂ.本據),Faction.home / Org.home,对象:据点,本城,—,✅ 引擎查询器,159
属性,卡,所持標誌,調查:(卡::四海踏破.所持標誌)==(1),Card.held,布尔,所持標誌（TK5 拼写：1 / 0 / 沒持有 / 已發生 / 持有中 → true/false）,—,🔴 需新增（数据包）,500
属性,商家,商業圈数,調查:(商家::商家Ａ.商業圈数)>=(8),Org.merchant_net,数字,商业圈数,—,🔴 需新增（数据包）,1
