类别,所属域,太阁原词,例句,我们侧名,值类型,语义,参数,档,载体,存档键,实现锚点,频率
属性,人物,仕官傾向,更新:(人物::小野忠明.仕官傾向)(沒那個意思),Hero.tendency,枚举:仕官傾向,仕官志向（值：沒那個意思 / 全職種 / 只限武將 / 3）,—,T3,外置仓,lwn_scn_attr,"骑砍2 无""仕官志向"" → 外置枚举 / set_attr",315
属性,人物,体力,更新:(人物::主人公.体力)(1),Hero.health,数字,体力,—,T1,引擎,无,`hero.HitPoints` / 引擎写,113
属性,人物,個人戰勝利数,調查:(人物::主人公.個人戰勝利数)>=(100),Hero.duel_wins,数字,个人战胜利数,—,T3,外置仓,lwn_scn_attr,同前缀,29
属性,人物,個人戰敗北数,代入ｄ:(人物::主人公.個人戰敗北数)*(4),Hero.duel_losses,数字,個人戰敗北数,—,T3,外置仓,lwn_scn_attr,同前缀,1
属性,人物,個人戰現在連勝数,調查:(人物::主人公.個人戰現在連勝数)>=(20),Hero.duel_streak,数字,个人战连胜数,—,T3,外置仓,lwn_scn_attr,同前缀,1
属性,人物,兵法指南役大名家,更新:(人物::小野忠明.兵法指南役大名家)(大名家::德川家康),Hero.tactics_advisor,对象:家族,兵法指南役大名家,—,T3,外置仓,lwn_scn_attr,同名,30
属性,人物,出撃標誌,調查:(人物::人物Ｂ.出撃標誌)==(0),Hero.flag_sortie,布尔,出撃標誌（TK5 拼写：0 / 1 / 出撃中 / 平常 → true/false）,—,T3,外置仓,lwn_scn_attr,同前缀,180
属性,人物,出現標誌,更新:(人物::マリア.出現標誌)(未出現),Hero.flag_appeared,布尔,出現標誌（TK5 拼写：1 / 0 / 已出現 / 未出現 / 已發生 → true/false）,—,T3,外置仓,lwn_scn_attr,同前缀,618
属性,人物,出自,場合別:(人物::發生人物.出自){//size=88(58),Hero.origin,数字,出自,—,T3,外置仓,lwn_scn_attr,同名,8
属性,人物,劍勝利回数,更新:(人物::主人公.劍勝利回数)(10),Hero.sword_wins,数字,剑胜利回数,—,T3,外置仓,lwn_scn_attr,同前缀,4
属性,人物,劍術師匠,更新:(人物::柳生石舟齋.劍術師匠)(人物::上泉信綱),Hero.sword_master,对象:人物,劍術師匠,—,T3,外置仓,lwn_scn_attr,同前缀,141
属性,人物,劍術流派,更新:(人物::柳生石舟齋.劍術流派)(流派::新陰),Hero.sword_style,对象:卡,劍術流派,—,T3,外置仓,lwn_scn_attr,同前缀,83
属性,人物,印可,更新:(人物::柳生石舟齋.印可)(真偽::真),Hero.license,布尔,印可,—,T3,外置仓,lwn_scn_attr,同名,26
属性,人物,原屬下標誌,更新:(人物::人物Ａ.原屬下標誌)(原上司),Hero.former_subordinate,枚举:原屬下標誌,原属下标记（值：原上司 / 原同事 / 原屬下 / 2 / 1）,—,T3,外置仓,lwn_scn_attr,同名,40
属性,人物,合戰禁止標誌,更新:(人物::主人公.合戰禁止標誌)(真偽::真),Hero.no_battle_flag,布尔,合战禁止标记（TK5 拼写：真偽::偽 / 真偽::真 → true/false）,—,T3,外置仓,lwn_scn_attr,同名,8
属性,人物,名聲,調查:(人物::主人公.名聲)>=(70),Hero.reputation,数字,名声,—,T2,引擎 / 外置仓,lwn_scn_attr,家主 → `clan.Renown`；非家主 → 外置数值 / 引擎写（带换算）,223
属性,人物,商人功勳,更新:(人物::主人公.商人功勳)(0),Hero.merit_merchant,数字,商人功勳,—,T3,外置仓,lwn_scn_attr,同前缀,52
属性,人物,喜好,場合別:(人物::人物Ａ.喜好){//size=852(354),Hero.taste,数字,喜好,—,T3,外置仓,lwn_scn_attr,同名,5
属性,人物,壽命,代入ｙ:(人物::主人公.壽命)+(1500),Hero.lifespan,数字,寿命,—,T3,外置仓,lwn_scn_attr,同名,1
属性,人物,外出禁止標誌,更新:(人物::小野忠明.外出禁止標誌)(真偽::真),Hero.flag_confined,布尔,外出禁止標誌（TK5 拼写：真偽::真 / 真偽::偽 → true/false）,—,T3,外置仓,lwn_scn_attr,同前缀,303
属性,人物,天覧試合標誌,調查:(人物::主人公.天覧試合標誌)==(3),Hero.tournament_flag,数字,天览试合标记,—,T3,外置仓,lwn_scn_attr,同名,2
属性,人物,失蹤標誌,更新:(人物::汎用姫様.失蹤標誌)(真),Hero.flag_missing,布尔,失蹤標誌（TK5 拼写：偽 / 真 / 1 → true/false）,—,T3,外置仓,lwn_scn_attr,同前缀,41
属性,人物,妻,更新:(人物::上杉景勝.妻)(人物::無效),Hero.spouse,对象:人物,配偶,—,T1,引擎,无,`hero.Spouse` / 引擎写,466
属性,人物,妻性格,調查:(人物::人物Ａ.妻性格)==(0),Hero.spouse_personality,数字,妻性格,—,T3,外置仓,lwn_scn_attr,同名,86
属性,人物,官位,調查:(人物::發生人物.官位)==(官位::正一位.16),Hero.court_rank,枚举:官位（带序：17 官位品级链）,官位,—,T3,外置仓,lwn_scn_attr,17 官位品级链（带序） / set_attr,105
属性,人物,官職,更新:(人物::主人公.官職)(官職::無效),Hero.title,枚举:官職,官职,—,T3,外置仓,lwn_scn_attr,17 官职链 / set_attr,148
属性,人物,容貌１,更新:(人物::織田信長.容貌１)(1154),Hero.appearance_1,数字,容貌１,—,T3,外置仓,lwn_scn_attr,同前缀,4
属性,人物,容貌２,更新:(人物::織田信長.容貌２)(1154),Hero.appearance_2,数字,容貌２,—,T3,外置仓,lwn_scn_attr,同前缀,4
属性,人物,容貌３,更新:(人物::織田信長.容貌３)(1154),Hero.appearance_3,数字,容貌３,—,T3,外置仓,lwn_scn_attr,同前缀,4
属性,人物,容貌４,更新:(人物::織田信長.容貌４)(1154),Hero.appearance_4,数字,容貌４,—,T3,外置仓,lwn_scn_attr,同前缀,4
属性,人物,對手武將,更新:(人物::主人公.對手武將)(人物::織田信勝),Hero.rival,对象:人物,对手武将,—,T3,外置仓,lwn_scn_attr,同名,27
属性,人物,工作狀態,調查:(人物::主人公.工作狀態)==(0),Hero.work_state,数字,工作状态（13）,—,T2,13主命,13,同前缀,46
属性,人物,工作目標,調查:(人物::主人公.工作目標)!=(人物::果心居士),Hero.work_goal,对象:人物,工作目标（13）,—,T2,13主命,13,同前缀,1
属性,人物,年齡,調查:(人物::主人公.年齡)<(50),Hero.age,数字,年龄,—,T1,引擎,无,`hero.Age` / 引擎写,327
属性,人物,建築技能,代入ｆ:(人物::主人公.建築技能),Hero.skill_construction,数字,建築技能,—,T3,外置仓,lwn_scn_attr,同前缀,28
属性,人物,弓術技能,代入ｂ:(變量::ｂ)+(人物::主人公.弓術技能),Hero.skill_archery,数字,弓術技能,—,T3,外置仓,lwn_scn_attr,同前缀,30
属性,人物,忍者功勳,更新:(人物::主人公.忍者功勳)(1048576),Hero.merit_ninja,数字,忍者功勳,—,T3,外置仓,lwn_scn_attr,同前缀,56
属性,人物,忍術技能,調查:(人物::主人公.忍術技能)==(5),Hero.skill_ninjutsu,数字,忍術技能,—,T3,外置仓,lwn_scn_attr,同前缀,79
属性,人物,忠誠度,更新:(人物::人物Ｄ.忠誠度)(100),Hero.loyalty,数字,忠诚,—,T2,引擎,无,太阁 0~100 ↔ 对主公关系 −100~+100 线性 / 引擎写（带换算）,61
属性,人物,性別,調查:(人物::主人公.性別)==(1),Hero.gender,数字,性别,—,T1,引擎,无,`hero.IsFemale` / 引擎写,1430
属性,人物,性情,調查:(人物::主人公.性情)==(2),Hero.personality,数字,性情,—,T3,外置仓,lwn_scn_attr,同名,3
属性,人物,悪名,調查:(人物::主人公.悪名)>=(70),Hero.infamy,数字,恶名,—,T2,引擎,无,借引擎犯罪值（按王国计） / 引擎写（带换算）,299
属性,人物,所屬上司,代入人物Ａ:(人物::主人公.所屬上司),Hero.superior,对象:人物,所属上司,—,T2,引擎,无,"骑砍2 无""上司"" → 取所属家族家主；从属家族取宗主 / 引擎写（带换算）",612
属性,人物,所屬勢力類型,調查:(人物::主人公.所屬勢力類型)==(0),Hero.faction_type,数字,所屬勢力類型,—,T3,外置仓,lwn_scn_attr,同前缀,625
属性,人物,所屬商家,代入商家Ａ:(人物::主人公.所屬商家),Hero.merchant_group,对象:组织,所屬商家,—,T3,外置仓,lwn_scn_attr,同前缀,24
属性,人物,所屬據點,調查:(人物::本多正信.所屬據點)==(據點::主人公據點),Hero.settlement,对象:据点,所在据点,—,T1,引擎,无,`hero.CurrentSettlement` / 引擎写,1727
属性,人物,所屬當主,代入人物Ａ:(人物::主人公.所屬當主),Hero.clan_leader,对象:人物,所屬當主,—,T3,外置仓,lwn_scn_attr,同名,130
属性,人物,所持金,代入ａ:(人物::主人公.所持金)+(人物::主人公.貯金),Hero.gold,数字,所持金,—,T1,引擎,无,`hero.Gold`（写走 `AgentControlHelper`，铁律 4） / 引擎写,46
属性,人物,承擔主命,調查:(人物::主人公.承擔主命)!=(主命::獲取貴重品（忍者）),Hero.quest_assigned,枚举:主命,承担主命（13）,—,T2,13主命,13,同前缀,169
属性,人物,承擔工作,調查:(人物::主人公.承擔工作)==(工作::買進交易品.3),Hero.work_assigned,枚举:工作,承担工作（13）,—,T2,13主命,13,同前缀,17
属性,人物,政務,更新:(人物::主人公.政務)(ａ),Hero.governance,数字,政务,—,T3,外置仓,lwn_scn_attr,同名,10
属性,人物,智謀,更新:(人物::主人公.智謀)(ｒ),Hero.intellect,数字,智谋,—,T3,外置仓,lwn_scn_attr,同名,5
属性,人物,最大載重量,代入ｃ:(人物::主人公.最大載重量)/(50),Hero.capacity,数字,最大载重量,—,T3,外置仓,lwn_scn_attr,同名,3
属性,人物,未知54,更新:(人物::一條兼定.未知54)(真),unknown_54,布尔,未知54,—,T0,无,无,解析碎片原样保留,21
属性,人物,格,調查:(人物::主人公.格)>(人物::ＭＰ主人.格),Hero.rank,数字,格,—,T3,外置仓,lwn_scn_attr,同名,2
属性,人物,武具種類,場合別:(人物::人物Ａ.武具種類){//size=256(100),Hero.weapon_type,数字,武具种类,—,T3,外置仓,lwn_scn_attr,同名,2
属性,人物,武具經驗,調查:(人物::主人公.武具經驗)>=(300),Hero.weapon_exp,数字,武具经验,—,T3,外置仓,lwn_scn_attr,同名,1
属性,人物,武力,更新:(人物::主人公.武力)(ａ),Hero.might,数字,武力,—,T3,外置仓,lwn_scn_attr,同名,8
属性,人物,武士功勳,代入ｄ:(人物::主人公.武士功勳)/(300),Hero.merit_samurai,数字,武士功勳,—,T3,外置仓,lwn_scn_attr,同前缀,243
属性,人物,武藝技能,代入ｂ:(變量::ｂ)+(人物::主人公.武藝技能),Hero.skill_martial_arts,数字,武藝技能,—,T3,外置仓,lwn_scn_attr,同前缀,26
属性,人物,死亡標誌,更新:(人物::阿中.死亡標誌)(死亡),Hero.alive,布尔,存活（TK5 拼写：0 / 1 / 死亡 / 已發生 / 生存 → true/false）,—,T1,引擎,无,`hero.IsAlive` / 引擎写,858
属性,人物,死刑標誌,更新:(人物::豐臣秀賴.死刑標誌)(死刑),Hero.flag_executed,布尔,死刑標誌（TK5 拼写：死刑 → true/false）,—,T3,外置仓,lwn_scn_attr,同前缀,126
属性,人物,水軍技能,代入ｂ:(變量::ｂ)+(人物::主人公.水軍技能),Hero.skill_naval,数字,水軍技能,—,T3,外置仓,lwn_scn_attr,同前缀,77
属性,人物,流派評價,調查:(人物::主人公.流派評價)>=(10000),Hero.sword_rank,数字,流派评价,—,T3,外置仓,lwn_scn_attr,同前缀,20
属性,人物,海賊功勳,更新:(人物::主人公.海賊功勳)(2097152),Hero.merit_pirate,数字,海賊功勳,—,T3,外置仓,lwn_scn_attr,同前缀,43
属性,人物,無敵標誌,更新:(人物::人物Ｅ.無敵標誌)(真),Hero.invincible,布尔,无敌标记（TK5 拼写：真 / 偽 → true/false）,—,T3,外置仓,lwn_scn_attr,同名,2
属性,人物,父母,調查:(人物::人物Ａ.父母)==(人物::主人公),Hero.parents,对象:人物,父母,—,T3,外置仓,lwn_scn_attr,同名,22
属性,人物,物品種類,"容器篩選:(物品,物品種類,槍)",Item.category,数字,物品種類,—,T3,外置仓,lwn_scn_attr,同前缀,4
属性,人物,物欲,調查:(人物::人物Ｂ.物欲)==(0),Hero.greed,数字,物欲,—,T3,外置仓,lwn_scn_attr,同名,1
属性,人物,生病標誌,更新:(人物::人物Ａ.生病標誌)(生病),Hero.flag_sick,布尔,生病標誌（TK5 拼写：0 / 健康 / 生病 / 1 → true/false）,—,T3,外置仓,lwn_scn_attr,同前缀,61
属性,人物,知喜好標誌,更新:(人物::人物Ｂ.知喜好標誌)(真偽::真),Hero.knows_taste,布尔,知喜好标记（TK5 拼写：真偽::真 → true/false）,—,T3,外置仓,lwn_scn_attr,同名,1
属性,人物,礦山技能,調查:(人物::主人公.礦山技能)>=(4),Hero.skill_mining,数字,礦山技能,—,T3,外置仓,lwn_scn_attr,同前缀,18
属性,人物,礼法技能,調查:(人物::主人公.礼法技能)>=(4),Hero.skill_etiquette,数字,礼法技能,—,T3,外置仓,lwn_scn_attr,同前缀,21
属性,人物,立場,調查:(人物::主人公.立場)==(0),Hero.stance,数字,立场,—,T3,外置仓,lwn_scn_attr,同前缀,169
属性,人物,算術技能,代入ｂ:(變量::ｂ)+(人物::主人公.算術技能),Hero.skill_arithmetic,数字,算術技能,—,T3,外置仓,lwn_scn_attr,同前缀,90
属性,人物,精神,調查:(人物::主人公.精神)==(2),Hero.spirit,数字,精神,—,T3,外置仓,lwn_scn_attr,同名,2
属性,人物,素政務,代入ｄ:(人物::主人公.素政務),Hero.governance_base,数字,素政务,—,T3,外置仓,lwn_scn_attr,同名,4
属性,人物,素智謀,代入ｄ:(人物::主人公.素智謀),Hero.intellect_base,数字,素智谋,—,T3,外置仓,lwn_scn_attr,同名,4
属性,人物,素武力,代入ｄ:(人物::主人公.素武力),Hero.might_base,数字,素武力,—,T3,外置仓,lwn_scn_attr,同名,4
属性,人物,素統率力,代入ｄ:(人物::主人公.素統率力),Hero.leadership_base,数字,素统率力,—,T3,外置仓,lwn_scn_attr,同名,2
属性,人物,素魅力,代入ｄ:(人物::主人公.素魅力),Hero.charm_base,数字,素魅力,—,T3,外置仓,lwn_scn_attr,同名,4
属性,人物,統率力,更新:(人物::主人公.統率力)(ａ),Hero.leadership,数字,统率力,—,T3,外置仓,lwn_scn_attr,同名,2
属性,人物,繼承人標誌,更新:(人物::佐久間盛政.繼承人標誌)(真偽::真),Hero.heir_flag,布尔,继承人标记（TK5 拼写：真偽::真 → true/false）,—,T3,外置仓,lwn_scn_attr,同名,35
属性,人物,義理,調查:(人物::人物Ｂ.義理)==(0),Hero.honor,枚举:義理,義理（值：重視情義 / 0）,—,T3,外置仓,lwn_scn_attr,同名,15
属性,人物,義診天數,調查:(人物::主人公.義診天數)>=(100),Hero.clinic_days,数字,义诊天数,—,T3,外置仓,lwn_scn_attr,同名,2
属性,人物,自宅鄰接工作場,調查:(人物::主人公.自宅鄰接工作場)==(1),Hero.workplace,数字,自宅邻接工作场,—,T2,13主命,13,同名,30
属性,人物,茶具經驗,調查:(人物::主人公.茶具經驗)>=(300),Hero.tea_exp,数字,茶具經驗,—,T3,外置仓,lwn_scn_attr,同前缀,10
属性,人物,茶席次數,調查:(人物::主人公.茶席次數)>=(1000),Hero.tea_count,数字,茶席次數,—,T3,外置仓,lwn_scn_attr,同前缀,14
属性,人物,茶道技能,調查:(人物::主人公.茶道技能)>=(3),Hero.skill_tea_ceremony,数字,茶道技能,—,T3,外置仓,lwn_scn_attr,同前缀,18
属性,人物,装備武器,調查:(人物::主人公.装備武器)==(物品::村正),Hero.equipment_weapon,对象:物品,装備武器,—,T3,外置仓,lwn_scn_attr,同前缀,13
属性,人物,装備防具,調查:(人物::主人公.装備防具)==(物品::物品Ａ),Hero.equipment_armor,对象:物品,装備防具,—,T3,外置仓,lwn_scn_attr,同前缀,5
属性,人物,製砲經驗,調查:(人物::主人公.製砲經驗)>=(500),Hero.cannon_exp,数字,制炮经验,—,T3,外置仓,lwn_scn_attr,同名,6
属性,人物,製藥天數,調查:(人物::主人公.製藥天數)>=(100),Hero.medicine_days,数字,制药天数,—,T3,外置仓,lwn_scn_attr,同名,4
属性,人物,製鐵經驗,調查:(人物::主人公.製鐵經驗)>=(500),Hero.smith_exp,数字,制铁经验,—,T3,外置仓,lwn_scn_attr,同名,6
属性,人物,親密度,更新:(人物::寶藏院胤榮.親密度)(90),Hero.relation_to,数字,親密度,—,T1,引擎,无,`hero.GetRelation(other)` / 引擎写,908
属性,人物,認識標誌,更新:(人物::寶藏院胤榮.認識標誌)(已認識),Hero.known,布尔,認識標誌（TK5 拼写：已認識 / 1 / 不認識 / 0 / 已發生 → true/false）,—,T1,引擎,无,`hero.HasMet(other)` / 引擎写,797
属性,人物,貯金,代入ａ:(人物::主人公.所持金)+(人物::主人公.貯金),Hero.savings,数字,貯金,—,T3,外置仓,lwn_scn_attr,同名,34
属性,人物,賊遭遇計數器,更新:(人物::主人公.賊遭遇計數器)(1048576),Variable::bandit_enc,数字,賊遭遇計數器,—,T1,Variable,lwn_scn_state,`Variable::` 命名空间,1
属性,人物,足輕技能,代入ｂ:(人物::主人公.足輕技能),Hero.skill_infantry,数字,足輕技能,—,T3,外置仓,lwn_scn_attr,同前缀,16
属性,人物,身份,更新:(人物::柳生石舟齋.身份)(身份::師範),Hero.identity,枚举:身份（带序：17 身份链）,身份,—,T3,外置仓,lwn_scn_attr,17 身份链（带序） / set_attr,2062
属性,人物,軍学技能,調查:(人物::主人公.軍学技能)>=(4),Hero.skill_military_tactics,数字,軍学技能,—,T3,外置仓,lwn_scn_attr,同前缀,72
属性,人物,辯才技能,調查:(人物::主人公.辯才技能)>=(4),Hero.skill_eloquence,数字,辯才技能,—,T3,外置仓,lwn_scn_attr,同前缀,45
属性,人物,醫師評價,調查:(人物::主人公.醫師評價)>=(3000),Hero.doctor_rank,数字,医师评价,—,T3,外置仓,lwn_scn_attr,同名,42
属性,人物,醫術技能,代入ｂ:(變量::ｂ)+(人物::主人公.醫術技能),Hero.skill_medicine,数字,醫術技能,—,T3,外置仓,lwn_scn_attr,同前缀,10
属性,人物,野心,調查:(人物::主人公.野心)>=(55),Hero.ambition,数字,野心,—,T3,外置仓,lwn_scn_attr,同名,5
属性,人物,鐵砲技能,調查:(人物::主人公.鐵砲技能)>=(3),Hero.skill_firearms,数字,鐵砲技能,—,T3,外置仓,lwn_scn_attr,同前缀,29
